gene_id,D4-1,D4-2,REH-1-WT,REH-2-WT
ENSG00000000003,1.00,1.02,0.00,2.00
ENSG00000000005,0.00,0.00,0.00,0.00
ENSG00000000419,447.00,493.00,331.00,327.00
ENSG00000000457,149.92,201.90,165.22,111.86
ENSG00000000460,312.95,397.23,326.26,357.15
ENSG00000000938,0.00,0.00,0.00,0.00
ENSG00000000971,0.00,0.00,0.00,0.00
ENSG00000001036,2.00,2.00,0.00,0.00
ENSG00000001084,208.45,290.46,131.30,131.00
ENSG00000001167,1028.00,1329.00,967.00,811.00
ENSG00000001460,24.73,28.45,4.00,18.00
ENSG00000001461,208.00,274.71,137.00,144.00
ENSG00000001497,1026.00,1277.00,837.00,741.00
ENSG00000001561,268.00,356.00,202.00,171.00
ENSG00000001617,44.00,78.00,63.00,81.00
ENSG00000001626,0.00,0.00,0.00,0.00
ENSG00000001629,681.00,854.00,579.00,519.00
ENSG00000001630,1837.91,2406.78,912.10,775.16
ENSG00000001631,625.91,822.34,588.12,473.24
ENSG00000002016,179.15,273.82,172.00,102.16
ENSG00000002079,2.00,1.00,2.00,1.00
ENSG00000002330,269.41,326.73,194.00,209.00
ENSG00000002549,1076.00,1272.00,803.00,771.00
ENSG00000002586,2822.00,3284.00,642.00,642.00
ENSG00000002587,13.00,10.00,15.00,2.00
ENSG00000002726,0.00,0.00,0.00,0.00
ENSG00000002745,0.00,0.00,2.00,0.00
ENSG00000002746,8.91,4.00,1.00,0.00
ENSG00000002822,618.00,733.00,357.00,275.00
ENSG00000002834,3213.89,3873.20,1539.18,1230.06
ENSG00000002919,144.45,192.00,113.00,122.00
ENSG00000002933,0.00,0.00,0.00,0.00
ENSG00000003056,1648.25,1943.20,1214.60,1001.11
ENSG00000003096,50.00,76.00,68.00,65.00
ENSG00000003137,2.00,0.00,0.00,1.00
ENSG00000003147,0.00,0.00,0.00,0.00
ENSG00000003249,95.00,114.00,16.00,9.00
ENSG00000003393,388.00,428.00,201.00,197.00
ENSG00000003400,279.10,321.87,173.00,124.93
ENSG00000003402,666.10,955.42,443.38,415.72
ENSG00000003436,88.03,149.56,42.00,29.03
ENSG00000003509,378.44,472.00,251.75,284.18
ENSG00000003756,1188.15,1449.47,977.39,804.83
ENSG00000003987,9.30,21.00,26.00,16.84
ENSG00000003989,0.00,0.00,0.00,0.00
ENSG00000004059,1181.91,1463.00,816.00,729.72
ENSG00000004139,165.28,187.13,153.12,111.10
ENSG00000004142,1469.00,1632.00,897.00,862.00
ENSG00000004399,1176.00,1477.00,1068.00,933.00
ENSG00000004455,3495.99,4379.00,2984.00,2720.00
ENSG00000004468,2163.00,2678.00,1519.10,1108.00
ENSG00000004478,1693.98,1922.98,1187.00,861.00
ENSG00000004487,3603.00,4319.00,2783.00,2293.00
ENSG00000004534,860.41,959.78,652.93,607.00
ENSG00000004660,169.74,249.08,55.71,57.44
ENSG00000004700,1129.09,1450.20,810.24,826.72
ENSG00000004766,311.42,349.20,236.00,232.00
ENSG00000004776,12.00,3.29,4.00,3.00
ENSG00000004777,999.00,1401.00,758.00,682.00
ENSG00000004779,807.00,1015.00,581.00,439.00
ENSG00000004799,0.00,0.00,0.00,0.00
ENSG00000004809,136.00,150.00,158.00,139.00
ENSG00000004838,10.00,14.49,8.00,0.00
ENSG00000004846,7.27,4.21,5.44,1.00
ENSG00000004848,37.00,61.00,12.00,9.00
ENSG00000004864,151.00,185.00,145.00,111.00
ENSG00000004866,79.00,68.84,51.00,41.83
ENSG00000004897,1498.87,1954.75,1059.04,1056.00
ENSG00000004939,18.89,30.85,8.01,4.99
ENSG00000004948,0.00,0.00,0.00,0.00
ENSG00000004961,235.00,270.00,144.00,157.00
ENSG00000004975,1011.00,1275.00,826.00,837.00
ENSG00000005001,0.00,1.00,0.00,0.00
ENSG00000005007,2477.00,2864.00,1225.00,1118.00
ENSG00000005020,903.33,1122.00,623.00,645.00
ENSG00000005022,4372.82,4974.55,3048.76,2617.93
ENSG00000005059,188.00,225.00,128.00,156.00
ENSG00000005073,15.20,16.11,7.00,21.00
ENSG00000005075,595.79,616.89,409.90,350.65
ENSG00000005100,1084.10,1380.26,825.00,865.00
ENSG00000005102,0.00,0.00,0.00,0.00
ENSG00000005108,1053.73,1380.33,559.82,447.96
ENSG00000005156,766.74,929.03,449.48,440.27
ENSG00000005175,646.00,847.00,586.00,571.00
ENSG00000005187,5.36,18.49,5.00,3.00
ENSG00000005189,192.26,205.99,122.00,101.00
ENSG00000005194,662.00,792.99,522.00,456.00
ENSG00000005206,1601.98,2118.96,772.00,640.00
ENSG00000005238,280.00,375.00,154.00,115.00
ENSG00000005243,0.00,2.00,0.00,2.00
ENSG00000005249,82.00,107.00,78.00,68.00
ENSG00000005302,292.00,400.00,185.00,207.00
ENSG00000005339,2667.34,3234.06,2455.94,2068.00
ENSG00000005379,5453.80,7454.71,4240.00,3591.00
ENSG00000005381,345.00,482.00,484.00,419.00
ENSG00000005421,0.00,0.00,0.00,0.00
ENSG00000005436,164.80,214.44,207.91,162.00
ENSG00000005448,284.00,453.99,214.00,170.00
ENSG00000005469,96.00,123.00,72.00,98.00
ENSG00000005471,1.00,0.00,0.00,0.00
ENSG00000005483,1862.74,2357.60,1795.00,1503.00
ENSG00000005486,306.00,378.00,167.00,131.00
ENSG00000005513,0.00,0.00,0.00,0.00
ENSG00000005700,1087.00,1441.81,684.00,618.00
ENSG00000005801,594.07,701.00,448.00,321.00
ENSG00000005810,7112.51,9074.44,4812.00,3814.98
ENSG00000005812,382.57,478.11,300.95,327.68
ENSG00000005844,8.86,9.06,7.00,0.00
ENSG00000005882,328.00,350.97,214.86,128.00
ENSG00000005884,16.61,16.13,5.98,5.05
ENSG00000005889,447.00,553.32,438.00,384.00
ENSG00000005893,1003.80,1282.34,840.07,748.00
ENSG00000005961,18.00,27.02,11.00,4.00
ENSG00000005981,2.00,1.00,2.00,0.00
ENSG00000006007,629.00,751.00,541.00,382.00
ENSG00000006015,459.95,606.97,236.11,225.24
ENSG00000006016,41.74,36.51,17.68,15.26
ENSG00000006025,306.00,452.00,208.00,216.00
ENSG00000006042,1.09,9.95,5.44,8.29
ENSG00000006047,1.00,1.00,0.00,0.00
ENSG00000006059,0.00,0.00,0.00,0.00
ENSG00000006062,257.14,350.20,129.90,122.22
ENSG00000006071,0.00,0.00,0.00,0.00
ENSG00000006116,0.00,0.00,0.00,0.00
ENSG00000006118,11.00,11.00,7.00,7.00
ENSG00000006125,3393.00,4413.00,2689.00,2279.00
ENSG00000006128,0.00,0.00,0.00,0.00
ENSG00000006194,647.17,721.94,487.49,378.59
ENSG00000006210,0.42,2.01,3.97,0.00
ENSG00000006282,475.00,587.00,155.00,147.00
ENSG00000006283,18.00,24.00,32.00,22.00
ENSG00000006327,38.00,73.00,4.00,3.00
ENSG00000006377,0.00,0.00,0.00,0.00
ENSG00000006432,111.31,142.23,70.44,81.47
ENSG00000006451,494.00,607.00,518.00,469.00
ENSG00000006453,4.05,2.36,2.00,0.00
ENSG00000006459,283.00,356.00,126.00,84.00
ENSG00000006468,0.00,0.00,0.00,0.00
ENSG00000006530,706.00,863.00,418.00,445.00
ENSG00000006534,35.96,43.04,12.15,5.00
ENSG00000006555,0.00,0.00,0.00,0.00
ENSG00000006576,437.03,649.03,354.00,369.00
ENSG00000006606,0.00,0.00,0.00,0.00
ENSG00000006607,637.22,824.65,464.38,366.37
ENSG00000006611,0.00,0.00,0.00,0.00
ENSG00000006625,696.00,857.95,639.00,591.00
ENSG00000006634,653.27,817.00,546.67,544.92
ENSG00000006638,70.83,87.64,47.31,39.87
ENSG00000006652,539.00,645.00,178.00,227.00
ENSG00000006659,0.00,0.00,0.00,0.00
ENSG00000006695,270.79,288.00,199.61,172.00
ENSG00000006704,568.89,671.99,419.00,409.02
ENSG00000006712,925.00,1047.00,663.00,550.00
ENSG00000006715,728.21,961.72,587.00,465.00
ENSG00000006740,97.01,121.00,57.23,58.00
ENSG00000006744,1360.46,1571.07,810.75,791.00
ENSG00000006747,6.74,15.94,8.76,10.10
ENSG00000006756,378.70,433.00,211.09,238.60
ENSG00000006757,0.94,0.00,0.00,0.00
ENSG00000006788,0.00,1.00,0.00,0.00
ENSG00000006831,1364.00,1628.00,998.00,719.00
ENSG00000006837,21.38,28.89,33.64,21.08
ENSG00000007001,1.00,0.00,0.00,0.00
ENSG00000007038,0.00,0.00,0.00,0.00
ENSG00000007047,944.00,1113.75,607.00,456.00
ENSG00000007062,173.00,249.00,52.00,75.00
ENSG00000007080,896.00,1010.77,605.00,480.00
ENSG00000007129,40.00,42.00,33.00,25.00
ENSG00000007168,2776.00,3428.61,2195.00,2003.00
ENSG00000007171,0.00,0.00,0.00,0.00
ENSG00000007174,6.07,0.87,0.00,1.00
ENSG00000007202,3813.37,4871.14,2784.46,2200.23
ENSG00000007216,0.00,0.00,0.00,0.00
ENSG00000007237,2543.22,3130.30,1268.75,979.02
ENSG00000007255,302.00,405.00,160.00,144.00
ENSG00000007264,0.00,0.00,0.00,0.00
ENSG00000007306,0.00,0.00,0.00,0.00
ENSG00000007312,2178.00,2745.00,1756.00,1691.00
ENSG00000007314,825.00,1086.00,435.00,415.00
ENSG00000007341,123.61,136.98,145.52,118.45
ENSG00000007350,0.00,0.00,0.00,0.00
ENSG00000007372,9.00,20.00,10.00,19.00
ENSG00000007376,524.88,628.96,320.00,294.00
ENSG00000007384,4.00,8.00,1.00,2.00
ENSG00000007392,985.40,1223.49,655.00,670.00
ENSG00000007402,25.00,28.00,4.00,9.00
ENSG00000007516,19.09,16.06,3.00,17.00
ENSG00000007520,483.91,574.94,316.00,237.00
ENSG00000007541,507.55,705.59,439.00,310.00
ENSG00000007545,1011.66,1300.53,784.17,649.79
ENSG00000007866,31.00,35.00,26.00,10.00
ENSG00000007908,0.00,0.00,0.00,0.00
ENSG00000007923,1204.39,1432.00,922.00,951.00
ENSG00000007933,1.01,0.00,0.00,0.00
ENSG00000007944,127.00,158.00,128.00,130.00
ENSG00000007952,2.00,2.00,1.00,7.00
ENSG00000007968,1692.84,2067.03,1726.48,1395.00
ENSG00000008018,1890.00,2256.00,1193.00,1166.00
ENSG00000008056,3.00,4.00,1.00,2.00
ENSG00000008083,961.00,1187.00,990.00,822.00
ENSG00000008086,80.17,118.72,98.52,71.87
ENSG00000008118,0.00,0.00,0.00,0.00
ENSG00000008128,543.25,717.12,356.34,379.72
ENSG00000008130,1332.00,1693.00,1233.00,1004.00
ENSG00000008196,0.00,0.00,0.00,0.00
ENSG00000008197,0.00,0.00,0.00,0.00
ENSG00000008226,5.00,9.38,0.00,0.00
ENSG00000008256,664.00,828.00,435.00,342.00
ENSG00000008277,169.00,204.00,135.00,160.00
ENSG00000008282,723.00,897.00,492.00,489.00
ENSG00000008283,27.16,40.65,4.00,11.00
ENSG00000008294,1099.95,1539.61,806.67,718.44
ENSG00000008300,73.00,102.00,28.00,45.00
ENSG00000008311,390.07,515.27,313.71,228.43
ENSG00000008323,1.00,2.00,5.00,0.00
ENSG00000008324,143.14,160.00,115.00,78.00
ENSG00000008382,207.00,226.00,161.00,139.00
ENSG00000008394,2.67,4.65,1.00,0.00
ENSG00000008405,304.00,368.00,281.00,229.00
ENSG00000008438,1.00,3.00,3.00,1.00
ENSG00000008441,802.00,905.00,756.00,663.00
ENSG00000008513,868.00,1148.45,319.00,268.00
ENSG00000008516,17.09,29.20,8.27,12.45
ENSG00000008517,0.00,1.00,0.00,0.00
ENSG00000008710,2091.05,2962.04,1586.08,1276.58
ENSG00000008735,130.81,149.72,75.00,42.00
ENSG00000008838,1473.00,1856.09,962.00,945.00
ENSG00000008853,196.57,223.07,76.06,90.42
ENSG00000008869,494.00,628.00,370.00,318.00
ENSG00000008952,963.00,1204.06,718.00,750.00
ENSG00000008988,7666.20,8943.81,5932.74,5051.39
ENSG00000009307,7135.00,8639.01,5498.00,4906.00
ENSG00000009335,1179.00,1472.17,905.99,707.00
ENSG00000009413,815.74,1019.67,888.56,820.97
ENSG00000009694,0.00,0.00,0.00,0.00
ENSG00000009709,6.00,6.00,0.00,0.00
ENSG00000009724,53.00,55.00,64.00,52.00
ENSG00000009765,7.68,12.29,3.19,1.16
ENSG00000009780,96.00,126.00,135.00,82.00
ENSG00000009790,404.73,554.36,171.62,130.14
ENSG00000009830,226.79,294.74,189.00,192.00
ENSG00000009844,827.99,1020.31,684.00,753.00
ENSG00000009950,17.47,18.53,9.33,9.68
ENSG00000009954,4240.00,5043.00,3911.00,3336.00
ENSG00000010017,827.04,1022.78,662.00,700.36
ENSG00000010030,37.00,38.00,40.00,36.00
ENSG00000010072,222.40,259.53,179.39,172.64
ENSG00000010165,546.00,671.00,454.00,309.00
ENSG00000010219,86.25,115.67,59.63,54.00
ENSG00000010244,3798.03,4931.47,3579.56,3259.01
ENSG00000010256,1095.00,1317.00,719.00,680.00
ENSG00000010270,416.00,537.00,325.00,293.00
ENSG00000010278,131.00,190.00,45.00,44.00
ENSG00000010282,0.00,0.00,0.00,0.00
